Type,Frame,TimestampUs,ThreadId,Category,Name,DurationMs,GameThreadMs,RenderPrepareMs,RenderThreadMs,RenderFrameMs,CPUFrameMs,GPUFrameMs,TotalFrameMs,DrawCalls,Triangles,VisibleObjects,Batches
Frame,46,1781696291275248,53912,"Frame","Frame",,3.5561,0.0363,0,3.4651,3.5561,2.28496,3.5561,12,2184,0,0
Frame,47,1781696291278917,53912,"Frame","Frame",,3.5949,0.0441,0,3.4704,3.5949,2.11779,3.5949,12,2184,0,0
Frame,48,1781696291283207,53912,"Frame","Frame",,4.1858,0.0748,0,4.0012,4.1858,2.66314,4.1858,12,2184,0,0
Frame,49,1781696291299952,53912,"Frame","Frame",,16.6706,0.0396,0,16.5639,16.6706,2.58042,16.6706,12,2184,0,0
Frame,50,1781696291304956,53912,"Frame","Frame",,4.9307,0.0468,0,4.803,4.9307,2.31245,4.9307,12,2184,0,0
Frame,51,1781696291310896,53912,"Frame","Frame",,5.8618,0.0419,0,5.7445,5.8618,2.40979,5.8618,12,2184,0,0
Frame,52,1781696291316847,53912,"Frame","Frame",,5.8676,0.0487,0,5.727,5.8676,2.85552,5.8676,12,2184,0,0
Frame,53,1781696291323538,53912,"Frame","Frame",,6.6078,0.0452,0,6.4787,6.6078,3.94125,6.6078,12,2184,0,0
Frame,54,1781696291327913,53912,"Frame","Frame",,4.3032,0.0924,0,4.066,4.3032,2.09149,4.3032,12,2184,0,0
Frame,55,1781696291333022,53912,"Frame","Frame",,5.0436,0.0347,0,4.9497,5.0436,2.61405,5.0436,12,2184,0,0
Frame,56,1781696291338321,53912,"Frame","Frame",,5.2287,0.0411,0,5.1182,5.2287,2.35821,5.2287,12,2184,0,0
Frame,57,1781696291344206,53912,"Frame","Frame",,5.8032,0.0415,0,5.6869,5.8032,2.33507,5.8032,12,2184,0,0
Frame,58,1781696291349955,53912,"Frame","Frame",,5.6702,0.0483,0,5.5312,5.6702,2.70627,5.6702,12,2184,0,0
Frame,59,1781696291356549,53912,"Frame","Frame",,6.5166,0.0436,0,6.3918,6.5166,3.73402,6.5166,12,2184,0,0
Frame,60,1781696291360684,53912,"Frame","Frame",,4.0446,0.053,0,3.9019,4.0446,2.35872,4.0446,12,2184,0,0
Frame,61,1781696291366723,53912,"Frame","Frame",,5.9671,0.0418,0,5.8507,5.9671,2.73722,5.9671,12,2184,0,0
Frame,62,1781696291371920,53912,"Frame","Frame",,5.1195,0.0475,0,4.99,5.1195,2.40326,5.1195,12,2184,0,0
Frame,63,1781696291378173,53912,"Frame","Frame",,6.1756,0.0447,0,6.051,6.1756,2.13075,6.1756,12,2184,0,0
Frame,64,1781696291383425,53912,"Frame","Frame",,5.1717,0.0479,0,5.0397,5.1717,2.79053,5.1717,12,2184,0,0
Frame,65,1781696291389928,53912,"Frame","Frame",,6.4231,0.045,0,6.297,6.4231,3.79728,6.4231,12,2184,0,0
Frame,66,1781696291394122,53912,"Frame","Frame",,4.1163,0.0574,0,3.9619,4.1163,2.10454,4.1163,12,2184,0,0
Frame,67,1781696291399840,53912,"Frame","Frame",,5.648,0.0415,0,5.5372,5.648,2.668,5.648,12,2184,0,0
Frame,68,1781696291405047,53912,"Frame","Frame",,5.135,0.0451,0,5.0139,5.135,2.34534,5.135,12,2184,0,0
Frame,69,1781696291410835,53912,"Frame","Frame",,5.7104,0.0435,0,5.587,5.7104,2.38547,5.7104,12,2184,0,0
Frame,70,1781696291416691,53912,"Frame","Frame",,5.752,0.05,0,5.5937,5.752,2.78275,5.752,12,2184,0,0
Frame,71,1781696291424527,53912,"Frame","Frame",,7.7563,0.0485,0,7.6184,7.7563,3.88227,7.7563,12,2184,0,0
Frame,72,1781696291428094,53912,"Frame","Frame",,3.505,0.0489,0,3.3732,3.505,2.08605,3.505,12,2184,0,0
Frame,73,1781696291432042,53912,"Frame","Frame",,3.8887,0.0325,0,3.8048,3.8887,2.64122,3.8887,12,2184,0,0
Frame,74,1781696291435465,53912,"Frame","Frame",,3.357,0.0396,0,3.2536,3.357,2.092,3.357,12,2184,0,0
Frame,75,1781696291438765,53912,"Frame","Frame",,3.241,0.042,0,3.135,3.241,2.15251,3.241,12,2184,0,0
Frame,76,1781696291442547,53912,"Frame","Frame",,3.6913,0.0365,0,3.595,3.6913,2.32896,3.6913,12,2184,0,0
Frame,77,1781696291446782,53912,"Frame","Frame",,4.1579,0.0446,0,4.0341,4.1579,2.14899,4.1579,12,2184,0,0
Frame,78,1781696291450370,53912,"Frame","Frame",,3.5181,0.0472,0,3.3897,3.5181,2.1839,3.5181,12,2184,0,0
Frame,79,1781696291456738,53912,"Frame","Frame",,6.2843,0.0399,0,6.1653,6.2843,3.80352,6.2843,12,2184,0,0
Frame,80,1781696291472326,53912,"Frame","Frame",,15.4629,0.098,0,15.2248,15.4629,2.54461,15.4629,12,2184,0,0
Frame,81,1781696291477593,53912,"Frame","Frame",,5.1914,0.0466,0,5.0629,5.1914,2.3936,5.1914,12,2184,0,0
Frame,82,1781696291483581,53912,"Frame","Frame",,5.9132,0.0444,0,5.7912,5.9132,2.63379,5.9132,12,2184,0,0
Frame,83,1781696291489952,53912,"Frame","Frame",,6.2928,0.0448,0,6.1688,6.2928,3.85094,6.2928,12,2184,0,0
Frame,84,1781696291494104,53912,"Frame","Frame",,4.0801,0.0557,0,3.9377,4.0801,2.15875,4.0801,12,2184,0,0
Frame,85,1781696291499660,53912,"Frame","Frame",,5.493,0.0377,0,5.3939,5.493,2.64202,5.493,12,2184,0,0
Frame,86,1781696291504704,53912,"Frame","Frame",,4.9778,0.042,0,4.8682,4.9778,2.17299,4.9778,12,2184,0,0
Frame,87,1781696291511167,53912,"Frame","Frame",,6.3813,0.041,0,6.2729,6.3813,2.30275,6.3813,12,2184,0,0
Frame,88,1781696291516921,53912,"Frame","Frame",,5.6761,0.0558,0,5.532,5.6761,2.804,5.6761,12,2184,0,0
Frame,89,1781696291524002,53912,"Frame","Frame",,7.0008,0.0445,0,6.8716,7.0008,4.01507,7.0008,12,2184,0,0
Frame,90,1781696291527317,53912,"Frame","Frame",,3.2466,0.065,0,3.075,3.2466,2.16064,3.2466,12,2184,0,0
Frame,91,1781696291531261,53912,"Frame","Frame",,3.8798,0.0356,0,3.7856,3.8798,2.30397,3.8798,12,2184,0,0
Frame,92,1781696291534415,53912,"Frame","Frame",,3.0917,0.0454,0,2.9753,3.0917,2.10096,3.0917,12,2184,0,0
Frame,93,1781696291538204,53912,"Frame","Frame",,3.7228,0.039,0,3.624,3.7228,2.40342,3.7228,12,2184,0,0
Frame,94,1781696291542112,53912,"Frame","Frame",,3.837,0.0445,0,3.7193,3.837,2.31315,3.837,12,2184,0,0
Frame,95,1781696291545821,53912,"Frame","Frame",,3.6305,0.0491,0,3.5029,3.6305,2.16102,3.6305,12,2184,0,0
Frame,96,1781696291549992,53912,"Frame","Frame",,4.1005,0.0525,0,3.9617,4.1005,2.70653,4.1005,12,2184,0,0
Frame,97,1781696291567183,53912,"Frame","Frame",,17.1165,0.041,0,17.0029,17.1165,2.73238,17.1165,12,2184,0,0
Frame,98,1781696291572011,53912,"Frame","Frame",,4.7476,0.0502,0,4.6081,4.7476,2.38682,4.7476,12,2184,0,0
Frame,99,1781696291578182,53912,"Frame","Frame",,6.0893,0.0484,0,5.9564,6.0893,2.43293,6.0893,12,2184,0,0
Frame,100,1781696291583607,53912,"Frame","Frame",,5.3337,0.0506,0,5.1905,5.3337,2.78422,5.3337,12,2184,0,0
Frame,101,1781696291590441,53912,"Frame","Frame",,6.7429,0.0524,0,6.5881,6.7429,3.96282,6.7429,12,2184,0,0
Frame,102,1781696291594737,53912,"Frame","Frame",,4.2061,0.0599,0,4.0411,4.2061,2.40262,4.2061,12,2184,0,0
Frame,103,1781696291598953,53912,"Frame","Frame",,4.1365,0.0539,0,3.9922,4.1365,2.65008,4.1365,12,2184,0,0
